r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 2,Chris Tognoni,Decision - Unanimous,Eric Colon 26-30.,Sal D'amato 27-30.,David Lethaby 27-30.,Vanessa Demopoulos ,0,19 of 33,0,0 of 0,---,0:00,6 of 20,5 of 17,1 of 3,0 of 0,5 of 19,0 of 0,Talita Alencar ,0,40 of 55,0,1 of 1,100%,3:43,11 of 24,7 of 18,3 of 3,1 of 3,8 of 21,0 of 0
Round 3,Chris Tognoni,Decision - Unanimous,Eric Colon 26-30.,Sal D'amato 27-30.,David Lethaby 27-30.,Vanessa Demopoulos ,0,8 of 20,0,0 of 0,---,0:00,0 of 7,0 of 7,0 of 0,0 of 0,0 of 7,0 of 0,Talita Alencar ,0,48 of 64,0,2 of 3,66%,4:30,25 of 34,25 of 34,0 of 0,0 of 0,2 of 7,0 of 0
Round 1,Herb Dean,Decision - Unanimous,Mike Bell 46-49.,Sal D'amato 46-49.,Chris Lee 46-49.,Brandon Moreno ,0,21 of 40,0,0 of 0,---,0:00,21 of 40,14 of 33,6 of 6,1 of 1,21 of 40,0 of 0,Steve Erceg ,0,25 of 68,0,0 of 0,---,0:00,25 of 68,18 of 57,1 of 4,6 of 7,25 of 68,0 of 0
Round 2,Herb Dean,Decision - Unanimous,Mike Bell 46-49.,Sal D'amato 46-49.,Chris Lee 46-49.,Brandon Moreno ,0,21 of 46,0,0 of 1,0%,0:00,21 of 46,14 of 37,1 of 3,6 of 6,20 of 45,1 of 1,Steve Erceg ,0,27 of 48,0,0 of 0,---,0:00,27 of 48,20 of 39,4 of 6,3 of 3,26 of 47,1 of 1
Round 3,Herb Dean,Decision - Unanimous,Mike Bell 46-49.,Sal D'amato 46-49.,Chris Lee 46-49.,Brandon Moreno ,0,10 of 24,0,0 of 0,---,0:00,10 of 24,3 of 15,4 of 6,3 of 3,10 of 24,0 of 0,Steve Erceg ,0,20 of 50,0,0 of 0,---,0:00,20 of 50,16 of 42,1 of 3,3 of 5,20 of 50,0 of 0
Round 4,Herb Dean,Decision - Unanimous,Mike Bell 46-49.,Sal D'amato 46-49.,Chris Lee 46-49.,Brandon Moreno ,0,21 of 37,0,0 of 3,0%,0:27,19 of 35,15 of 29,4 of 6,0 of 0,18 of 34,1 of 1,Steve Erceg ,0,26 of 58,0,0 of 0,---,0:00,25 of 57,19 of 49,4 of 6,2 of 2,25 of 57,0 of 0
Round 5,Herb Dean,Decision - Unanimous,Mike Bell 46-49.,Sal D'amato 46-49.,Chris Lee 46-49.,Brandon Moreno ,0,22 of 35,0,1 of 1,100%,0:58,18 of 31,13 of 24,3 of 4,2 of 3,18 of 31,0 of 0,Steve Erceg ,0,21 of 58,0,0 of 0,---,0:00,19 of 56,17 of 50,1 of 5,1 of 1,19 of 56,0 of 0
Round 1,Mike Beltran,Decision - Unanimous,Eric Colon 28-29.,Sal D'amato 28-29.,Chris Lee 28-29.,Raul Rosas Jr. ,0,15 of 22,0,1 of 3,33%,3:33,11 of 18,6 of 12,4 of 4,1 of 2,7 of 14,0 of 0,Vince Morales ,0,8 of 12,0,1 of 1,100%,0:36,0 of 4,0 of 4,0 of 0,0 of 0,0 of 4,0 of 0
Round 2,Mike Beltran,Decision - Unanimous,Eric Colon 28-29.,Sal D'amato 28-29.,Chris Lee 28-29.,Raul Rosas Jr. ,0,6 of 15,0,2 of 3,66%,3:28,5 of 14,3 of 12,0 of 0,2 of 2,5 of 13,0 of 0,Vince Morales ,0,17 of 23,0,0 of 0,---,0:00,11 of 17,10 of 16,1 of 1,0 of 0,11 of 17,0 of 0
Round 3,Mike Beltran,Decision - Unanimous,Eric Colon 28-29.,Sal D'amato 28-29.,Chris Lee 28-29.,Raul Rosas Jr. ,0,5 of 9,0,1 of 2,50%,2:37,4 of 7,3 of 6,1 of 1,0 of 0,4 of 7,0 of 0,Vince Morales ,0,14 of 18,0,0 of 0,---,1:38,6 of 10,5 of 8,1 of 2,0 of 0,5 of 9,0 of 0
