r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 3,Dan Miragliotta,Decision - Majority,Sal D'amato 28-28.,Tony Weeks 28-28.,John Woodburn 29-28.,Jesse Bongfeldt ,0,49 of 62,0,1 of 1,100%,2:55,41 of 54,30 of 43,5 of 5,6 of 6,11 of 20,3 of 3,Rafael Natal ,0,2 of 7,0,0 of 2,0%,0:00,2 of 7,0 of 5,0 of 0,2 of 2,2 of 6,0 of 1
Round 1,Yves Lavigne,Decision - Unanimous,Sal D'amato 27-30.,Nelson Hamilton 27-30.,David Therien 27-30.,Matthew Riddle ,0,5 of 53,0,0 of 0,---,0:00,5 of 53,4 of 49,0 of 3,1 of 1,5 of 52,0 of 1,Sean Pierson ,1,71 of 109,1,1 of 1,100%,2:30,48 of 81,28 of 57,12 of 13,8 of 11,23 of 49,14 of 18
Round 2,Yves Lavigne,Decision - Unanimous,Sal D'amato 27-30.,Nelson Hamilton 27-30.,David Therien 27-30.,Matthew Riddle ,0,17 of 80,0,0 of 1,0%,0:44,11 of 72,10 of 70,0 of 1,1 of 1,8 of 67,0 of 0,Sean Pierson ,0,35 of 72,0,0 of 1,0%,0:30,25 of 61,24 of 57,0 of 3,1 of 1,25 of 61,0 of 0
Round 3,Yves Lavigne,Decision - Unanimous,Sal D'amato 27-30.,Nelson Hamilton 27-30.,David Therien 27-30.,Matthew Riddle ,0,19 of 133,0,0 of 1,0%,0:00,19 of 133,17 of 129,1 of 3,1 of 1,18 of 130,1 of 3,Sean Pierson ,0,42 of 114,0,0 of 1,0%,0:42,39 of 111,34 of 101,3 of 8,2 of 2,38 of 108,1 of 3
Round 1,Philippe Chartier,Decision - Unanimous,Richard DeCarufel 27-30.,Nelson Hamilton 27-30.,Tony Weeks 27-30.,TJ Grant ,0,7 of 11,0,0 of 0,---,0:00,1 of 4,0 of 3,0 of 0,1 of 1,1 of 1,0 of 3,Ricardo Almeida ,0,33 of 50,0,2 of 3,66%,4:27,17 of 34,14 of 31,2 of 2,1 of 1,2 of 2,0 of 0
Round 2,Philippe Chartier,Decision - Unanimous,Richard DeCarufel 27-30.,Nelson Hamilton 27-30.,Tony Weeks 27-30.,TJ Grant ,0,7 of 12,0,0 of 1,0%,0:34,4 of 9,2 of 7,0 of 0,2 of 2,1 of 3,1 of 2,Ricardo Almeida ,0,11 of 26,0,2 of 3,66%,3:46,5 of 15,3 of 13,1 of 1,1 of 1,2 of 4,1 of 2
Round 3,Philippe Chartier,Decision - Unanimous,Richard DeCarufel 27-30.,Nelson Hamilton 27-30.,Tony Weeks 27-30.,TJ Grant ,0,6 of 10,0,0 of 0,---,0:18,1 of 5,0 of 4,1 of 1,0 of 0,1 of 5,0 of 0,Ricardo Almeida ,0,49 of 60,0,2 of 2,100%,4:06,26 of 36,24 of 34,2 of 2,0 of 0,4 of 9,0 of 0
Round 1,Herb Dean,Decision - Unanimous,David Therien 27-30.,Sal D'amato 27-30.,John Woodburn 26-30.,Pat Audinwood ,0,4 of 49,0,0 of 1,0%,0:02,4 of 49,1 of 40,2 of 6,1 of 3,4 of 48,0 of 1,John Makdessi ,1,24 of 44,1,0 of 0,---,0:19,21 of 37,13 of 26,3 of 4,5 of 7,18 of 32,2 of 2
Round 2,Herb Dean,Decision - Unanimous,David Therien 27-30.,Sal D'amato 27-30.,John Woodburn 26-30.,Pat Audinwood ,0,9 of 48,0,1 of 1,100%,0:02,9 of 48,3 of 40,5 of 6,1 of 2,9 of 48,0 of 0,John Makdessi ,0,27 of 45,0,0 of 0,---,0:00,27 of 45,13 of 25,4 of 7,10 of 13,27 of 45,0 of 0
Round 3,Herb Dean,Decision - Unanimous,David Therien 27-30.,Sal D'amato 27-30.,John Woodburn 26-30.,Pat Audinwood ,0,6 of 65,0,0 of 0,---,0:00,6 of 65,5 of 56,1 of 7,0 of 2,6 of 65,0 of 0,John Makdessi ,0,26 of 45,0,0 of 0,---,0:00,26 of 45,16 of 26,2 of 8,8 of 11,26 of 45,0 of 0
Round 1,Herb Dean,Decision - Unanimous,Patricia Morse-Jarman 27-29.,Cecil Peoples 28-29.,Adalaide Byrd 28-29.,Jonathan Brookins ,0,7 of 29,0,0 of 7,0%,0:37,7 of 29,7 of 29,0 of 0,0 of 0,6 of 26,1 of 3,Michael Johnson ,1,25 of 50,1,0 of 1,0%,1:09,24 of 49,18 of 42,2 of 3,4 of 4,15 of 36,7 of 8
Round 2,Herb Dean,Decision - Unanimous,Patricia Morse-Jarman 27-29.,Cecil Peoples 28-29.,Adalaide Byrd 28-29.,Jonathan Brookins ,0,32 of 40,0,1 of 3,33%,4:39,15 of 22,15 of 22,0 of 0,0 of 0,0 of 2,0 of 0,Michael Johnson ,0,8 of 12,0,0 of 0,---,0:00,4 of 8,4 of 8,0 of 0,0 of 0,1 of 5,3 of 3
Round 3,Herb Dean,Decision - Unanimous,Patricia Morse-Jarman 27-29.,Cecil Peoples 28-29.,Adalaide Byrd 28-29.,Jonathan Brookins ,0,18 of 26,0,2 of 3,66%,4:30,10 of 16,10 of 16,0 of 0,0 of 0,1 of 2,1 of 1,Michael Johnson ,0,5 of 8,0,0 of 0,---,0:05,2 of 5,2 of 5,0 of 0,0 of 0,2 of 3,0 of 2
Round 1,Steve Mazzagatti,Decision - Unanimous,Cecil Peoples 26-29.,Glenn Trowbridge 26-29.,Tony Weeks 26-29.,Stephan Bonnar ,0,28 of 43,0,1 of 1,100%,3:34,13 of 24,3 of 13,10 of 11,0 of 0,0 of 7,6 of 8,Igor Pokrajac ,0,11 of 21,0,0 of 0,---,0:46,8 of 18,5 of 15,2 of 2,1 of 1,5 of 13,3 of 5
Round 2,Steve Mazzagatti,Decision - Unanimous,Cecil Peoples 26-29.,Glenn Trowbridge 26-29.,Tony Weeks 26-29.,Stephan Bonnar ,0,52 of 75,0,1 of 3,33%,3:46,19 of 37,12 of 27,6 of 9,1 of 1,9 of 19,10 of 18,Igor Pokrajac ,0,15 of 36,0,0 of 1,0%,0:31,13 of 34,9 of 29,3 of 4,1 of 1,5 of 25,6 of 7
Round 3,Steve Mazzagatti,Decision - Unanimous,Cecil Peoples 26-29.,Glenn Trowbridge 26-29.,Tony Weeks 26-29.,Stephan Bonnar ,0,67 of 81,0,1 of 1,100%,4:38,12 of 19,4 of 10,7 of 8,1 of 1,1 of 2,0 of 0,Igor Pokrajac ,0,14 of 16,0,0 of 0,---,0:06,2 of 3,2 of 3,0 of 0,0 of 0,0 of 0,0 of 0
Round 1,Josh Rosenthal,Decision - Unanimous,Adalaide Byrd 28-29.,Junichiro Kamijo 28-29.,Patricia Morse-Jarman 28-29.,Kendall Grove ,0,9 of 19,0,0 of 0,---,0:00,6 of 16,6 of 16,0 of 0,0 of 0,5 of 15,0 of 0,Demian Maia ,0,33 of 48,0,3 of 4,75%,3:32,22 of 37,15 of 29,6 of 6,1 of 2,2 of 9,1 of 2
Round 2,Josh Rosenthal,Decision - Unanimous,Adalaide Byrd 28-29.,Junichiro Kamijo 28-29.,Patricia Morse-Jarman 28-29.,Kendall Grove ,0,11 of 27,0,0 of 0,---,0:00,4 of 18,3 of 16,1 of 1,0 of 1,2 of 15,2 of 3,Demian Maia ,0,29 of 37,0,2 of 6,33%,3:36,11 of 16,7 of 12,4 of 4,0 of 0,1 of 5,0 of 0
Round 3,Josh Rosenthal,Decision - Unanimous,Adalaide Byrd 28-29.,Junichiro Kamijo 28-29.,Patricia Morse-Jarman 28-29.,Kendall Grove ,0,30 of 60,0,0 of 0,---,0:00,8 of 34,8 of 34,0 of 0,0 of 0,6 of 32,2 of 2,Demian Maia ,0,9 of 26,0,0 of 3,0%,1:08,9 of 26,7 of 23,1 of 2,1 of 1,9 of 26,0 of 0
Round 1,Steve Mazzagatti,Decision - Unanimous,Patricia Morse-Jarman 28-29.,Glenn Trowbridge 28-29.,Tony Weeks 28-29.,Johny Hendricks ,0,19 of 38,0,1 of 1,100%,0:33,14 of 33,12 of 30,0 of 1,2 of 2,13 of 28,1 of 5,Rick Story ,0,40 of 86,0,0 of 2,0%,0:29,32 of 76,14 of 51,14 of 20,4 of 5,23 of 59,9 of 17
Round 2,Steve Mazzagatti,Decision - Unanimous,Patricia Morse-Jarman 28-29.,Glenn Trowbridge 28-29.,Tony Weeks 28-29.,Johny Hendricks ,0,14 of 28,0,0 of 2,0%,1:26,8 of 22,6 of 20,1 of 1,1 of 1,6 of 20,2 of 2,Rick Story ,0,36 of 61,0,2 of 3,66%,1:52,21 of 46,6 of 28,8 of 11,7 of 7,10 of 33,10 of 12
Round 3,Steve Mazzagatti,Decision - Unanimous,Patricia Morse-Jarman 28-29.,Glenn Trowbridge 28-29.,Tony Weeks 28-29.,Johny Hendricks ,0,12 of 13,0,5 of 10,50%,4:18,2 of 3,0 of 1,0 of 0,2 of 2,0 of 1,2 of 2,Rick Story ,0,22 of 23,0,0 of 0,---,0:30,2 of 3,0 of 0,2 of 3,0 of 0,0 of 1,2 of 2
Round 1,Herb Dean,Decision - Split,Tony Weeks 28-29.,Junichiro Kamijo 30-27.,Adalaide Byrd 28-29.,Nam Phan ,0,33 of 71,0,0 of 0,---,0:08,33 of 71,23 of 58,6 of 8,4 of 5,33 of 71,0 of 0,Leonard Garcia ,0,30 of 111,0,0 of 0,---,0:00,30 of 111,18 of 97,6 of 7,6 of 7,27 of 108,3 of 3
Round 2,Herb Dean,Decision - Split,Tony Weeks 28-29.,Junichiro Kamijo 30-27.,Adalaide Byrd 28-29.,Nam Phan ,0,45 of 74,0,0 of 0,---,2:27,34 of 63,30 of 58,3 of 4,1 of 1,27 of 52,3 of 3,Leonard Garcia ,0,18 of 51,0,1 of 1,100%,0:20,13 of 46,8 of 40,4 of 5,1 of 1,12 of 45,1 of 1
Round 3,Herb Dean,Decision - Split,Tony Weeks 28-29.,Junichiro Kamijo 30-27.,Adalaide Byrd 28-29.,Nam Phan ,0,38 of 96,0,0 of 0,---,0:06,35 of 93,27 of 83,8 of 10,0 of 0,33 of 91,0 of 0,Leonard Garcia ,0,22 of 126,0,1 of 2,50%,0:36,21 of 125,14 of 107,6 of 15,1 of 3,19 of 122,2 of 3
Round 1,Josh Rosenthal,Decision - Unanimous,Glenn Trowbridge 27-30.,Junichiro Kamijo 28-29.,Tony Weeks 26-30.,Ian Loveland ,1,35 of 54,1,0 of 0,---,4:48,10 of 23,10 of 23,0 of 0,0 of 0,2 of 4,0 of 0,Tyler Toner ,0,3 of 3,0,0 of 0,---,0:00,1 of 1,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0
Round 2,Josh Rosenthal,Decision - Unanimous,Glenn Trowbridge 27-30.,Junichiro Kamijo 28-29.,Tony Weeks 26-30.,Ian Loveland ,1,20 of 40,1,0 of 0,---,1:34,14 of 34,14 of 33,0 of 1,0 of 0,11 of 26,1 of 2,Tyler Toner ,0,16 of 29,0,0 of 0,---,0:00,9 of 22,4 of 16,0 of 0,5 of 6,8 of 21,0 of 0
Round 3,Josh Rosenthal,Decision - Unanimous,Glenn Trowbridge 27-30.,Junichiro Kamijo 28-29.,Tony Weeks 26-30.,Ian Loveland ,0,20 of 55,0,0 of 0,---,0:00,20 of 55,15 of 47,4 of 6,1 of 2,18 of 53,2 of 2,Tyler Toner ,0,11 of 55,0,0 of 0,---,0:00,11 of 55,6 of 45,4 of 5,1 of 5,11 of 55,0 of 0
Round 1,Herb Dean,Decision - Unanimous,Adalaide Byrd 27-30.,Cecil Peoples 27-30.,Patricia Morse-Jarman 28-29.,Sako Chivitchian ,0,23 of 50,0,0 of 0,---,1:47,12 of 37,10 of 35,1 of 1,1 of 1,9 of 31,3 of 6,Kyle Watson ,0,30 of 44,0,0 of 6,0%,1:11,25 of 36,8 of 19,14 of 14,3 of 3,16 of 26,9 of 10
Round 2,Herb Dean,Decision - Unanimous,Adalaide Byrd 27-30.,Cecil Peoples 27-30.,Patricia Morse-Jarman 28-29.,Sako Chivitchian ,0,17 of 49,0,0 of 1,0%,0:50,13 of 45,10 of 42,2 of 2,1 of 1,9 of 40,4 of 5,Kyle Watson ,0,32 of 50,0,0 of 3,0%,0:40,26 of 42,11 of 24,8 of 9,7 of 9,18 of 34,8 of 8
Round 3,Herb Dean,Decision - Unanimous,Adalaide Byrd 27-30.,Cecil Peoples 27-30.,Patricia Morse-Jarman 28-29.,Sako Chivitchian ,0,14 of 54,0,0 of 0,---,0:21,11 of 50,6 of 45,3 of 3,2 of 2,7 of 45,4 of 5,Kyle Watson ,0,26 of 65,0,0 of 3,0%,0:36,21 of 57,9 of 43,9 of 10,3 of 4,20 of 55,1 of 2
Round 1,Josh Rosenthal,Decision - Unanimous,Adalaide Byrd 27-30.,Glenn Trowbridge 27-30.,Tony Weeks 27-30.,Rich Attonito ,0,2 of 9,0,0 of 0,---,0:28,1 of 8,1 of 8,0 of 0,0 of 0,1 of 8,0 of 0,David Branch ,0,10 of 21,0,2 of 4,50%,3:22,2 of 9,0 of 7,2 of 2,0 of 0,0 of 5,2 of 2
Round 2,Josh Rosenthal,Decision - Unanimous,Adalaide Byrd 27-30.,Glenn Trowbridge 27-30.,Tony Weeks 27-30.,Rich Attonito ,0,12 of 16,0,0 of 0,---,0:00,5 of 5,1 of 1,4 of 4,0 of 0,1 of 1,4 of 4,David Branch ,0,18 of 25,0,1 of 4,25%,4:22,9 of 10,1 of 2,4 of 4,4 of 4,0 of 1,8 of 8
Round 3,Josh Rosenthal,Decision - Unanimous,Adalaide Byrd 27-30.,Glenn Trowbridge 27-30.,Tony Weeks 27-30.,Rich Attonito ,0,3 of 7,0,0 of 0,---,0:00,0 of 2,0 of 2,0 of 0,0 of 0,0 of 0,0 of 1,David Branch ,0,25 of 33,0,1 of 2,50%,4:35,5 of 8,1 of 4,0 of 0,4 of 4,0 of 2,4 of 4
Round 1,Herb Dean,Decision - Split,Nelson Hamilton 29-28.,Jeff Blatnick 28-29.,Sal D'amato 28-29.,Quinton Jackson ,0,26 of 39,0,0 of 0,---,1:02,5 of 18,4 of 17,0 of 0,1 of 1,3 of 15,2 of 3,Lyoto Machida ,0,16 of 22,0,0 of 0,---,0:18,12 of 18,1 of 3,3 of 3,8 of 12,10 of 16,2 of 2
Round 2,Herb Dean,Decision - Split,Nelson Hamilton 29-28.,Jeff Blatnick 28-29.,Sal D'amato 28-29.,Quinton Jackson ,0,28 of 38,0,1 of 1,100%,1:02,7 of 16,3 of 12,2 of 2,2 of 2,1 of 9,6 of 7,Lyoto Machida ,0,11 of 15,0,0 of 1,0%,1:24,8 of 12,2 of 4,2 of 3,4 of 5,6 of 10,2 of 2
Round 3,Herb Dean,Decision - Split,Nelson Hamilton 29-28.,Jeff Blatnick 28-29.,Sal D'amato 28-29.,Quinton Jackson ,0,16 of 27,0,0 of 0,---,0:17,4 of 15,2 of 12,1 of 1,1 of 2,2 of 11,2 of 4,Lyoto Machida ,0,26 of 34,0,1 of 2,50%,2:56,13 of 21,10 of 16,1 of 1,2 of 4,10 of 14,2 of 6
Round 1,Dan Miragliotta,Decision - Unanimous,Jeff Blatnick 27-30.,Kelvin Caldwell 28-29.,Cardo Urso 28-29.,Gerald Harris ,0,2 of 16,0,1 of 1,100%,0:04,2 of 16,2 of 16,0 of 0,0 of 0,2 of 16,0 of 0,Maiquel Falcao ,0,21 of 29,0,1 of 1,100%,1:19,12 of 18,9 of 15,3 of 3,0 of 0,1 of 1,4 of 7
Round 2,Dan Miragliotta,Decision - Unanimous,Jeff Blatnick 27-30.,Kelvin Caldwell 28-29.,Cardo Urso 28-29.,Gerald Harris ,0,3 of 12,0,1 of 5,20%,0:50,3 of 12,2 of 11,1 of 1,0 of 0,1 of 7,2 of 5,Maiquel Falcao ,1,30 of 40,1,0 of 0,---,2:45,10 of 19,7 of 16,3 of 3,0 of 0,5 of 14,1 of 1
Round 3,Dan Miragliotta,Decision - Unanimous,Jeff Blatnick 27-30.,Kelvin Caldwell 28-29.,Cardo Urso 28-29.,Gerald Harris ,0,3 of 33,0,0 of 1,0%,0:04,3 of 33,1 of 30,2 of 3,0 of 0,3 of 32,0 of 1,Maiquel Falcao ,0,3 of 8,0,0 of 0,---,0:00,3 of 8,2 of 6,0 of 0,1 of 2,3 of 7,0 of 1
Round 1,Marc Fennell,Decision - Unanimous,Jeff Blatnick 28-29.,Kelvin Caldwell 28-29.,Cardo Urso 28-29.,Aaron Simpson ,0,23 of 49,0,1 of 4,25%,1:23,13 of 39,7 of 31,3 of 5,3 of 3,6 of 28,5 of 9,Mark Munoz ,0,25 of 49,0,0 of 1,0%,0:45,23 of 47,10 of 29,8 of 10,5 of 8,6 of 23,17 of 24
Round 2,Marc Fennell,Decision - Unanimous,Jeff Blatnick 28-29.,Kelvin Caldwell 28-29.,Cardo Urso 28-29.,Aaron Simpson ,0,16 of 44,0,3 of 4,75%,0:52,13 of 41,5 of 30,8 of 11,0 of 0,12 of 36,1 of 4,Mark Munoz ,0,30 of 49,0,1 of 2,50%,0:37,24 of 41,12 of 27,3 of 4,9 of 10,18 of 31,5 of 9
Round 3,Marc Fennell,Decision - Unanimous,Jeff Blatnick 28-29.,Kelvin Caldwell 28-29.,Cardo Urso 28-29.,Aaron Simpson ,0,31 of 53,0,1 of 3,33%,0:59,17 of 38,9 of 29,7 of 8,1 of 1,9 of 21,8 of 17,Mark Munoz ,0,37 of 76,0,0 of 1,0%,1:35,29 of 68,13 of 48,8 of 9,8 of 11,5 of 23,21 of 41
Round 1,Herb Dean,Decision - Split,Sal D'amato 28-29.,Jeff Blatnick 28-29.,Nelson Hamilton 30-27.,Tyson Griffin ,0,7 of 16,0,4 of 8,50%,3:20,7 of 15,2 of 10,1 of 1,4 of 4,3 of 11,4 of 4,Nik Lentz ,0,39 of 40,0,1 of 1,100%,0:43,13 of 14,6 of 7,3 of 3,4 of 4,9 of 10,3 of 3
Round 2,Herb Dean,Decision - Split,Sal D'amato 28-29.,Jeff Blatnick 28-29.,Nelson Hamilton 30-27.,Tyson Griffin ,0,23 of 37,0,3 of 4,75%,2:05,12 of 24,6 of 18,3 of 3,3 of 3,11 of 23,0 of 0,Nik Lentz ,0,18 of 36,0,1 of 3,33%,0:19,14 of 32,9 of 27,3 of 3,2 of 2,13 of 29,1 of 3
Round 3,Herb Dean,Decision - Split,Sal D'amato 28-29.,Jeff Blatnick 28-29.,Nelson Hamilton 30-27.,Tyson Griffin ,1,36 of 49,1,1 of 1,100%,1:42,12 of 21,11 of 20,1 of 1,0 of 0,9 of 15,2 of 5,Nik Lentz ,0,18 of 26,0,2 of 4,50%,2:22,7 of 13,4 of 10,3 of 3,0 of 0,5 of 6,0 of 0
Round 1,Leon Roberts,Decision - Unanimous,Richard Bertrand 28-29.,Paul Sutherland 28-29.,Chris Lee 27-30.,Nate Marquardt ,0,5 of 13,0,0 of 0,---,1:32,2 of 9,0 of 6,1 of 2,1 of 1,1 of 6,1 of 2,Yushin Okami ,0,14 of 16,0,1 of 4,25%,2:25,3 of 5,3 of 5,0 of 0,0 of 0,2 of 4,0 of 0
Round 2,Leon Roberts,Decision - Unanimous,Richard Bertrand 28-29.,Paul Sutherland 28-29.,Chris Lee 27-30.,Nate Marquardt ,0,8 of 19,0,2 of 3,66%,0:52,6 of 17,4 of 13,1 of 3,1 of 1,4 of 12,2 of 4,Yushin Okami ,0,7 of 20,0,0 of 5,0%,1:40,6 of 19,5 of 17,1 of 2,0 of 0,5 of 18,1 of 1
Round 3,Leon Roberts,Decision - Unanimous,Richard Bertrand 28-29.,Paul Sutherland 28-29.,Chris Lee 27-30.,Nate Marquardt ,0,14 of 36,0,1 of 1,100%,0:28,13 of 35,8 of 27,3 of 5,2 of 3,11 of 33,2 of 2,Yushin Okami ,0,19 of 62,0,0 of 0,---,0:04,16 of 59,15 of 58,1 of 1,0 of 0,15 of 58,1 of 1
Round 1,Leon Roberts,Decision - Unanimous,Richard Bertrand 27-30.,Paul Sutherland 27-30.,Howard Hughes 27-30.,Amir Sadollah ,0,31 of 62,0,0 of 0,---,0:21,21 of 52,5 of 32,4 of 7,12 of 13,13 of 42,8 of 10,Peter Sobotta ,0,12 of 36,0,0 of 3,0%,2:35,11 of 35,10 of 34,0 of 0,1 of 1,8 of 29,3 of 6
Round 2,Leon Roberts,Decision - Unanimous,Richard Bertrand 27-30.,Paul Sutherland 27-30.,Howard Hughes 27-30.,Amir Sadollah ,0,33 of 83,0,0 of 0,---,0:26,32 of 82,9 of 54,4 of 6,19 of 22,29 of 77,1 of 3,Peter Sobotta ,0,9 of 47,0,0 of 1,0%,0:07,9 of 47,5 of 41,2 of 3,2 of 3,9 of 46,0 of 1
Round 3,Leon Roberts,Decision - Unanimous,Richard Bertrand 27-30.,Paul Sutherland 27-30.,Howard Hughes 27-30.,Amir Sadollah ,0,40 of 78,0,0 of 0,---,0:00,37 of 75,13 of 42,6 of 14,18 of 19,33 of 70,4 of 5,Peter Sobotta ,0,14 of 44,0,0 of 1,0%,0:42,14 of 44,10 of 35,2 of 7,2 of 2,14 of 43,0 of 1
Round 1,Marc Goddard,Decision - Unanimous,Chris Lee 27-30.,Paul Sutherland 27-30.,Chris Watts 27-30.,Krzysztof Soszynski ,0,17 of 41,0,0 of 0,---,0:00,16 of 40,8 of 31,2 of 2,6 of 7,16 of 40,0 of 0,Goran Reljic ,0,48 of 72,0,1 of 2,50%,1:56,10 of 34,5 of 24,5 of 7,0 of 3,10 of 34,0 of 0
Round 2,Marc Goddard,Decision - Unanimous,Chris Lee 27-30.,Paul Sutherland 27-30.,Chris Watts 27-30.,Krzysztof Soszynski ,0,36 of 49,0,0 of 1,0%,1:07,16 of 29,5 of 17,2 of 2,9 of 10,7 of 19,8 of 9,Goran Reljic ,0,17 of 37,0,1 of 2,50%,2:45,4 of 16,2 of 14,1 of 1,1 of 1,4 of 15,0 of 0
Round 3,Marc Goddard,Decision - Unanimous,Chris Lee 27-30.,Paul Sutherland 27-30.,Chris Watts 27-30.,Krzysztof Soszynski ,0,54 of 78,0,0 of 0,---,2:56,25 of 45,22 of 41,2 of 3,1 of 1,11 of 25,1 of 1,Goran Reljic ,0,9 of 24,0,0 of 2,0%,0:57,9 of 24,7 of 22,1 of 1,1 of 1,9 of 24,0 of 0
Round 1,Marc Goddard,Decision - Split,Richard Bertrand 28-29.,Howard Hughes 28-29.,Chris Watts 29-28.,Duane Ludwig ,0,29 of 64,0,0 of 0,---,0:02,25 of 60,15 of 42,10 of 16,0 of 2,16 of 48,8 of 11,Nick Osipczak ,2,46 of 64,2,1 of 3,33%,2:14,27 of 44,16 of 31,4 of 4,7 of 9,14 of 25,5 of 6
Round 2,Marc Goddard,Decision - Split,Richard Bertrand 28-29.,Howard Hughes 28-29.,Chris Watts 29-28.,Duane Ludwig ,0,22 of 55,0,0 of 1,0%,0:06,21 of 54,8 of 30,7 of 16,6 of 8,17 of 49,4 of 5,Nick Osipczak ,0,21 of 39,0,1 of 1,100%,1:25,17 of 35,6 of 19,2 of 4,9 of 12,17 of 33,0 of 1
Round 3,Marc Goddard,Decision - Split,Richard Bertrand 28-29.,Howard Hughes 28-29.,Chris Watts 29-28.,Duane Ludwig ,0,55 of 119,0,0 of 3,0%,0:55,53 of 117,26 of 81,21 of 29,6 of 7,37 of 87,16 of 30,Nick Osipczak ,0,17 of 32,0,0 of 1,0%,0:18,16 of 31,8 of 21,3 of 5,5 of 5,15 of 28,1 of 3
Round 1,Leon Roberts,Decision - Unanimous,Chris Lee 27-30.,Paul Sutherland 27-30.,Chris Watts 27-30.,Pascal Krauss ,0,65 of 92,0,2 of 2,100%,2:09,22 of 48,6 of 28,13 of 16,3 of 4,4 of 24,11 of 14,Mark Scanlon ,0,17 of 54,0,1 of 2,50%,1:24,8 of 41,7 of 36,1 of 4,0 of 1,6 of 36,2 of 5
Round 2,Leon Roberts,Decision - Unanimous,Chris Lee 27-30.,Paul Sutherland 27-30.,Chris Watts 27-30.,Pascal Krauss ,0,62 of 77,0,1 of 1,100%,3:26,17 of 27,8 of 17,8 of 9,1 of 1,2 of 6,3 of 4,Mark Scanlon ,0,24 of 38,0,0 of 0,---,0:53,10 of 23,10 of 22,0 of 1,0 of 0,9 of 18,1 of 4
Round 3,Leon Roberts,Decision - Unanimous,Chris Lee 27-30.,Paul Sutherland 27-30.,Chris Watts 27-30.,Pascal Krauss ,0,103 of 121,0,0 of 1,0%,2:33,11 of 23,10 of 22,0 of 0,1 of 1,5 of 17,0 of 0,Mark Scanlon ,0,21 of 37,0,2 of 2,100%,1:00,15 of 30,11 of 25,1 of 2,3 of 3,11 of 25,0 of 0
Round 1,John McCarthy,Decision - Split,Cecil Peoples 29-28.,Nelson Hamilton 27-30.,Larry Landless 28-29.,Jake Shields ,0,20 of 27,0,1 of 5,20%,2:35,14 of 21,4 of 9,4 of 5,6 of 7,13 of 20,0 of 0,Martin Kampmann ,0,12 of 16,0,0 of 0,---,0:29,10 of 14,3 of 5,7 of 9,0 of 0,3 of 5,7 of 9
Round 2,John McCarthy,Decision - Split,Cecil Peoples 29-28.,Nelson Hamilton 27-30.,Larry Landless 28-29.,Jake Shields ,0,20 of 25,0,2 of 5,40%,2:54,8 of 12,3 of 7,4 of 4,1 of 1,5 of 9,2 of 2,Martin Kampmann ,0,19 of 29,0,0 of 0,---,1:00,15 of 25,9 of 17,6 of 8,0 of 0,3 of 10,9 of 12
Round 3,John McCarthy,Decision - Split,Cecil Peoples 29-28.,Nelson Hamilton 27-30.,Larry Landless 28-29.,Jake Shields ,0,13 of 28,0,1 of 5,20%,1:59,3 of 13,2 of 9,1 of 2,0 of 2,3 of 13,0 of 0,Martin Kampmann ,0,26 of 32,0,0 of 0,---,1:46,10 of 15,6 of 11,4 of 4,0 of 0,2 of 7,4 of 4
Round 1,Jason Herzog,Decision - Unanimous,Luis Cobian 26-30.,Larry Landless 28-29.,Mike Beltran 28-29.,Diego Sanchez ,0,7 of 32,0,0 of 4,0%,0:31,7 of 32,5 of 27,2 of 4,0 of 1,6 of 28,1 of 4,Paulo Thiago ,0,29 of 50,0,1 of 2,50%,1:30,24 of 43,16 of 35,8 of 8,0 of 0,8 of 20,15 of 19
Round 2,Jason Herzog,Decision - Unanimous,Luis Cobian 26-30.,Larry Landless 28-29.,Mike Beltran 28-29.,Diego Sanchez ,0,29 of 46,0,1 of 3,33%,3:59,15 of 31,7 of 21,7 of 9,1 of 1,2 of 11,0 of 0,Paulo Thiago ,0,14 of 22,0,0 of 0,---,0:00,11 of 18,11 of 18,0 of 0,0 of 0,7 of 13,3 of 4
Round 3,Jason Herzog,Decision - Unanimous,Luis Cobian 26-30.,Larry Landless 28-29.,Mike Beltran 28-29.,Diego Sanchez ,0,37 of 61,0,1 of 1,100%,4:42,26 of 49,21 of 42,5 of 7,0 of 0,0 of 1,0 of 0,Paulo Thiago ,0,6 of 14,0,0 of 1,0%,0:02,1 of 4,1 of 4,0 of 0,0 of 0,0 of 1,1 of 3
Round 1,John McCarthy,Decision - Unanimous,Mike Beltran 28-29.,Larry Landless 28-29.,Cecil Peoples 27-30.,Tito Ortiz ,0,18 of 64,0,0 of 0,---,0:00,17 of 63,11 of 54,2 of 4,4 of 5,17 of 60,0 of 3,Matt Hamill ,0,11 of 45,0,1 of 1,100%,0:08,11 of 45,9 of 39,1 of 3,1 of 3,11 of 44,0 of 1
